"Name","Acronym","No. INSCRIP-TION","DATE DE RECONNAISSANCE","Contact person","Address","Website","Tel","Base country of org","Sector","Location","Ali's notes","NATIONALITE","No. DU MONITEUR","Notes"
"Organisation des Hommes pour la Perfection de la Production Nationale","OHPPN",,,"Hyppolite Jean Dieuseul","134, Sans Fil",,"3874-5490","Haiti","Agriculture",,,,,
"Centre de Recherche en Sciences Pplitiques et Sociales","CRESPOS",,,"Philomé Pierre-Noël","135, Ave Christophe",,"3403-9769","Haiti",,,,,,
"Association pour la promotion Sociale et le Développement Communautaire ","APROSDEC",,,"André B. LIMONTAS ","135, Rue Sans-Fil,                       BP.15171, P-V",,"223-8571 ","Haiti","Education, Health, Agriculture",,,,,
"Coordination Sud de Defense des Droits Humains","CSDDH",,,"Joseph Serizien","137, rue Antoine Simon Cayes",,"3485-2918","Haiti","Human Rights",,,,,
"Organisation Promotionnelle de Grand-Goâve","OPROGG",,,"Avril Johnson","137, rue Boirond Tonner",,"636-3636","Haiti",,,,,,
"Ensemble des Jeunes Dévoués pour le Developpement et l'Avancement du Pays","EJEDDAP",,,"Rocher Jean Robert","138 Butte Boyer 5A, Croix des Missions, Haiti",,,"Haiti",,,,,,
"Association des Visionnaires de Butte Boyer","AVIB",,,"Jean Michel Ernst","138, Butte Boyer 4A",,"3730-1767","Haiti",,,,,,
"Amicale des Anciens du Lycée Jacques Roumains","AMALYJAR",,,"Arilus Dieulifranc","139, rue Sténio Vincent Gros Morne",,"420-7301","Haiti",,,,,,
"Haiti Solidarité Internationale","HSI",,,"Jean Lhérisson","14 A, Delmas 43, Port au Prince, Haiti",,"3705-6301","Haiti",,,,,,
"Alternative pour le Respect des Droits de l'Homme","ALTERAH/DH",,,"Josué Dieudonné","14 bis, delmas 36",,"448-2130","Haiti","Human Rights",,,,,
"Centre Haïtien pour la Promotion de l'Agriculture et la Protection de l'Environnement ","CEPAPE ",,,"Mme. Danielle MANGONES DEJEAN","14, 1ère impasse Lavaud, BP.2020,  P-au-P",,"245-1965 ","Haiti","Agriculture",,,,,
"Centre d'Organisation des Techniciens Réunis pour l'Avancement d'Haiti","COTRAH",,,"Renel Josil / Coord Gnle","14, 2eme cité Soleil, ruelle Chretienne "" Renouvellement2""",,"3425-2105","Haiti",,,,,,
"Investir dans l'Humain pour un Demain Meilleur","IHDM",,,"Aldajuste Junior","14, bis rue Bhetanie, Delmas 33",,"3492-5251","Haiti",,,,,,
"Mouvement des Educations Sans Frotières","MESF",,,"V. Claire Ania Bellefleur","14, Christ-Roi, impasse Romane",,"3674-6410","Haiti",,,,,,
"Generation Espoir pour Haiti","GENESHA",,,"Florel Mondesir","14, Delmas 53, P-au-P Haiti",,"216-7115","Haiti",,,,,,
"Groupe d'Action Communautaire et d'Education Civique","GRACEC",,,"Andrieu Pierre","14, imp. Vilina Rlle Sylvia, Ave Poupalard",,"423-1530","Haiti","Education",,,,,
"Coordination des Professionnels de Santé de l'Artibonite","COPSA",,,"Dr Felix Maxe Ricot","14, impasse Elime, Route Pivert",,"3873-5380","Haiti","Health",,,,,
"Interchurch Medical Assistance ","IMA",,,"M. Ambroise JEAN SYLVAIN","14, Impasse Hérard, Delmas 75",,"3448-0577","Haiti","Health",,,,,
"Mennonite Central Committee ","MCC",,,"Edwin DENING","14, Impasse Hérard, Delmas 75, BP.2160, P-au-P",,"246-1739 ","Haiti","Health, Agriculture",,,,,
"Concertation des Paysans pour le Developpement d'Hati","COPDHA",,,"Pierre Wilner","14, paradis Club, Mon repos 38, Carrefour",,"3694-1661","Haiti",,,,,,
"Comité National de Solidarité Laïque ","CNSL",,,"Mme Christiane DESPORTES","14, Rue Abbé Huet, Jérémie ",,"284-6252","Haiti","Education",,,,,
"Centre de Promotion des Femmes Ouvrières ","CPFO",,,"Mme Djenane L.  MONTAS","14, Rue Barbancourt, Rte Aéroport, B.P 1329     P-au-P ",,"250-1246 ","Haiti","Health",,,,,
"Association Philantropique de l'Eglise Missionnaire pour le Developpement des Enfants d'Haiti","APEMDEH",,,"Ester Besson","14, rue Bareau Fontamara 27",,"800-0620","Haiti",,,,,,
"Amour en Action","AEA",,,"Amson Chery","14, rue Bellegarde Delmas 19 P-au-P Haiti",,"439-4750","Haiti","Other",,,,,
"Centre d'Action pour le Développement ","CAD",,,"Marlène VERDIER","14, Rue Brédy, Carrefour-Feuilles",,"222-6962 ","Haiti",,,,,,
"Institut de dance Jaka","ADJ",,,"_______________","14, rue Clerveaux, Petion-Vile",,"554-8307","Haiti","Arts & Culture",,,,,
"Comité de Relèvement pour le Developpement des femmes de Petite Place Caseau","CRDFP",,,"Yolène Calixte","14, rue Demo, delmas 33 prolongée",,"830-0476","Haiti","Women's Programs",,,,,
"Fonds Haïtien d'Aide à la Femme ","FHAF",,,"Elisabeth Colimon WOOLLEY","14, Rue des Miracles (Immeubles Sogebank)",,"510-7373 ","Haiti","Microfinance",,,,,
"Union des Hommes Progressistes pour la Protection de la Vie Humaine et de l'Environnement","PHEPVUH",,,"Nocant Jean Faveur","14, rue despestre, Ave Mais Gâté, 23 Tabarre",,"482-0962","Haiti","________________",,,,,
"Organisation Populaire pour l'Alpha Economique","OPAEC",,,"Je an Charles Kerns","14, rue docteur Batholy Christ-roi, et Petite Rivière de l'Artibonite, rue Capois",,"245-4087","Haiti",,,,,,
"Centre Vision Nouvelle","CEVIN",,,"Marie Carmen St-Fleur","14, rue Fraternité, Delmas 33, Haiti",,"3452-9373","Haiti",,,,,,
"Groupe des Femmes Organisées pour le Developpement de Médor","GROFODEM",,,"Carietane Silencienne Baltazar","14, rue Germain, delmas 64 Petionville, Haiti",,,"Haiti",,,,,,
"Comité Protos Haïti","CPH",,,"M. Rosny SMATH","14, Rue H. Rimpel, P-au-P, cph.paup@yahoo.fr ",,"245-9937 ","Haiti","Water & Sanitation",,,,,
"Association des Medecins Feuille Haitiens","AMFH",,,"Jean Charles Berthony","14, rue Petion ""Renouvvelement 1""",,"3493-8414","Haiti",,,,,,
"Communication Poly Art","COPART",,,"Martinez St. Pierre Nicole","14, rue Petion, P-au-P",,"525-4109","Haiti","Arts & Culture",,,,,
"Sant Kal Levek (Centre Karl Lévèque)","SKL",,,"Faustin PIERRE","14, Rue Pomeyrac, Delmas 95, P-V",,"222-0800 ","Haiti",,,,,,
"Organisation des Jeunes Intellectuels pour l'Avancement Collectif d'Haiti","ORJINACH",,,"Eustache Marc Goven","14, Rue Saint Alexandre (zone place carl bouard)",,,"Haiti","Education",,,,,
"Association Solidarité des Femmes Haitiennes Journalistes","SOFEHJ",,,"Martin Isaac","14, rue Sudin",,"3729-5294","Haiti","Women's Programs",,,,,
"Vétérinaires Sans Frontières","VSF",,,"Cécile BERUT","14, Rue Wilson 2",,"405-3153 ","Haiti","Agriculture",,,,,
"Impact des Jeunes Haitiens pour le Developpement","L'IMJEHDE",,,"Antonime/MarignanJ.","14,Ave Marie Jeanne Port-au-Prince",,"749-0632","Haiti",,,,,,
"Kòdinasyon Rekonfò Sosyal Kafoufèy","KOKSKF",,,"Louis Fritz","140 bis, imp. Eddy prol.",,"3723-3924","Haiti",,,,,,
"Operations Sodec ","OS",,,"Henry CHERY","140, Ave. Martin Luther King, BP.1545, P-au-P         sodechopital@hotmail.com www.sodecinternational.com",,"245-5041 ","Haiti","Health, Education",,,,,
"Union des Frères du Sud'Est pour le Developpement Humain","UFSUDH",,,"Charles Dieudonné","140, Avenue Barand Wuilla Jacmel",,"3758-4033","Haiti",,,,,,
"Centre d'Orientation aux Enfants Necessiteux d'Haiti","COENHA",,,"Metellus Wislet","140, Tabarre 27, imp. J. Ulysse",,,"Haiti","Children & Youth",,,,,
"Fondation Amour de Dieu en Action","FADA",,,"Rév. Arsène BOUILLY","141 bis,  Fort Mercredi Prolongé Gressier (Christianville)                      BP 937,   P-au-P         ",,"554-8007","Haiti","Health, Education",,,,,
"Organisation Structurelle des Compatriotes Unis pour le Developpement","OSCUD",,,"Lafontant Joseph Ronald","141, Rte Fort Mercredi",,"403-8689","Haiti",,,,,,
"Club des Anciens Elèves du Collège Coeur de Jesus","CANECCJ",,,"Jean Richard Barlatier","142, Autoroute de de Delmas",,,"Haiti","Education",,,,,
"Centre Artistique des Jeunes Intellectuels de Demain","CAJID",,,"Sylien Perckens","142, rue Saint Martin",,"503-9074","Haiti","Arts & Culture",,,,,
"Association des Techniciens du Nord","ATECH-NORD",,,"Fleurant Saintilus","143 Institution Thomas Edisson, ruelle dauphine",,"3496-0337","Haiti",,,,,,
"Union des Partisans du Developpement Rural","UPADER",,,"Macelin Georges","1435, rue Geffrard, Petit-Goâve",,"3462-2507","Haiti",,,,,,
"Syndicat Personnel Infimier","SPI",,,"Marie Kettlie Thimoléon","144 Bis rue Dr Aubry",,,"Haiti","Health",,,,,
"Initiative pour le Développement Economique des Femmes Independantes de l'Artibonite","IDEFIA",,,"Fleuris Edeline / Coord","144, Ave des Dattes",,"3692-8476","Haiti","Women's Programs",,,,,
"Organisation pour l'Avancement d'Haiti dans les Domaines Artistiques et Touristiques","OAHDART",,,"Jean Minevre Letang","144, ave Martin Luther King, Port-au-Prince, Haiti",,"245-5624","Haiti",,,,,,
"Commission Initiative Bas-Cité Chauvel","CIBCC",,,"Présumé Antoine","144, Bas Cité Chauvel",,,"Haiti",,,,,,
"Association des Quêteurs d'Informations pour les Jeunes","AQIJ/NORD",,,"Emmanuel Benjamin","144, route de l'Aeroport, Fort-St. Michel",,"664-8601","Haiti",,,,,,
"Organisation pour le Developpement de la Grande Rivière du Nord","ODEG/NORD",,,"Claude Pierre","145, Grande Rivière du Nord, rue Jean Price Mars",,,"Haiti",,,,,,
"Centre d'Action Socio-Communautaire Haitien","CASCH",,,"Louis Michelet","145, rue Cameau "" Renouvellement""",,"3436-1533","Haiti",,,,,,
"AssociationSportive et Culturelle pour une Pétion-Ville epanouie","ASCUPEVE",,,"Patrick Denize / Président","145, Rue Louverture",,,"Haiti",,,,,,
"Lutte pour la defense des Enfants des Rues en Haiti","LDERH",,,"Joseph Drole Kechela","146, rue Cameau",,"738-0237","Haiti","Children & Youth",,,,,
"Groupement de Techniciens pour l'Emergence d'une Nouvelle Haiti","GTENHA",,,"Ariold Brutus","147 A, rte de Delmas, Delmas 33",,"3405-7625","Haiti",,,,,,
"Association Nationale des Scouts d'Haïti","ANSH",,,"Maxeau EDOUARD","147, Dr. Aubry BP. 412, P-au-P",,"222-2326","Haiti","Education, Health",,,,,
"Centre Pilote de Développement de la Grande Rivière de Nippes ","CEPIDEGRIN",,,"Léon B. CANAL","149, Route Frère Delmas 105",,"257-2726","Haiti",,,,,,
"Organisation pour le Développement Educatif de la Communauté Haitienne","CHEDO",,,"__________","15 bis, Martissant 23, Prolongée rue Crepsac",,,"Haiti",,,,,,
"Organisation de Production et de Services pour Sauver l'Environnement de l'Ouest","OPSSSEO",,,"Aliense Dieujuste","15, à l'étage Tabarre 36",,"2513-2693","Haiti",,,,,,
"Conservation pour le Respect et l'Intégration Sociale des Citoyens Haitiens","CORISCH",,,"Duperval Romane","15, Avenue Lamartinière, rue Clermont",,"3932-9196","Haiti",,,,,,
"Association des Jeunes Tachniciens pour le Developpement de Plaissance","AJTDP/N",,,"Alcimé Robert","15, Cité Leclerc, Plaissance, Nord",,,"Haiti",,,,,,
"Centre d'Appui Psychologique et de Loisir","CAPL",,,"Dieujuste Makenson","15, Delmas 5, rue Guih=gnard",,"3731-5184","Haiti","Health",,,,,
"Ligue pour la Lecture de la Bible-Haiti","LLB-H",,,"Galilée J. Périlus","15, Frécimeau Saint Marc",,"3780-2561","Haiti","Arts & Culture",,,,,
"Organisation pour la Decentralisation et le Développement Durable","O3D",,,"Asmath Satnley Coord. Glne","15, impass Denis, rue Ruiguet Ave N prolongée",,"3753-8585","Haiti",,,,,,
"Noyau de Reflexion pour le Progrès et la Promotion des Cadres","NOREPPROCAD",,,"Paul Joseph Hector / Coord.","15, Impasse Solidarité, rue Senghor",,"3449-3334","Haiti",,,,,,
"Centre d'Appui Formah","CFOMAH",,,"Lionel Barthelemy","15, Laboule 12",,,"Haiti","Human Rights",,,,,
"Groupe d'Acion pour le Developpement Socio-Economique des Femmes d'Haiti","GADSEFH",,,"Mikerlande Metellus","15, rte Nationale # 1 Gonaives",,"3413-5390","Haiti","Women's Programs",,,,,
"Association pour l'Epanouissement des Jeunes de la Culture Haitienne","AEJCH",,,"Thessée Pierre Paul","15, rue Ave Jean Paul II",,"3778-8122","Haiti","Arts & Culture",,,,,
"Organisation pour la Promotion Durable de Saint-Raphaël","OPDDSR",,,"Gélin Homère","15, rue boulevard, Saint Raphaël",,"3443-3021","Haiti",,,,,,
"Organisation d'une Nouvelle Orientation pour la Rehabilitation des Nécessiteux Haiti","ONOREH",,,"Ovilmar Claude Vilion","15, rue Brochette",,"3550-0222","Haiti",,,,,,
"Alternative Citoyenne pour le Progrès de la Circonscription de Saut-D'Eau","ACPCS",,,"Julio Camille","15, rue Clerveau , Saut-d'Eau, Plateau Central",,"3742-2992","Haiti","Other",,,,,
"Sonje Ayiti","SA",,,"_____________","15, Rue Codada, delmas, Nazon",,,"Haiti","_______________-",,,,,
"Haïti Info Bank ","HIB",,,"Louis A. DESROULEAUX","15, Rue de l'Enterrement(building lad trading)",,"222-3727 ","Haiti","Agriculture",,,,,
"Groupe de Reflexion et d'Accompagnement aux Services Sociaux","GRASS",,,"Dieujiste Makenston","15, rue Guignard, Delmas 5 Port-au-Prince, Haiti",,,"Haiti","Education",,,,,
"Action de l'Unité pour le Developpement Rural / Action Unity For Rural Developpement","AURD/HAITI",,,"Joseph Jean Renot","15, rue Jn Coradin St. Louis Jenty Frères,6, Petion-Ville Haiti",,"257-5734","Haiti","Agriculture",,,,,
"Front d'Action des Chorégraphes pour le Développement Socio-Culturel","FACHODESC",,,"Fabien Joseph Willy","15, rue M Turgeau",,"3708-1261","Haiti",,,,,,
"Fédération Luthérienne Mondiale ","FLM",,,"Prakash RAJBANDARI","15, Rue Mangonès, Berthé, P-V",,"257-1685","Haiti","Agriculture",,,,,
"Association pour le Developpement Durable des Pauvres","ADDP",,,"Soeur Livia Joseph","15, rue Saint Gerard, Carrefour-feuilles",,"407-0303","Haiti",,,,,,
"Centre d'Action pour la Solidarité et le Developpement Intégré","CASODI",,,"Jean Marc Marcellus","15, rue Simond 3 Rte de l'aéroport Delmas",,,"Haiti",,,,,,
"Collectif des Fils Integrés de Lascahobas pour le Developpement","COFILAD",,,"Antony Guerrier","15, rue Stenio Vincent, Lascahobas",,"276-9655","Haiti",,,,,,
"Organisation pour la Promotion et l'Application des Droits Humains","OPADHU",,,"Ezechias François","15, ruelle Hyppolite, Cité Militaire",,"450-2511","Haiti","Human Rights",,,,,
"Organisation pour le Développement et de la Reconstruction Nationale","ODRENA",,,"Madame Mme Yolène Geffrard","150, rte mercredi, 29 Petite Descayettes",,"3415-8089","Haiti",,,,,,
"Jeunesse Haitienne en Action pour le Developpement Integral","JHADI",,,"Toussaint Georges","151, Rue de la Reunion",,"472-9078","Haiti",,,,,,
"Fondation Digicel Haiti",,,,"Esther Policard Clotaire, Assistante Administrative (3700-7027)","151, Turgeau, angle Ave Jean Paul II et Imp. Duverger",,"3777-7025",,"Education",,,,,
"Mouvement Etudiants et Universitaires pour Sauver Haiti","MESH/O",,,"________________","153, rue de la Reunion",,"561-6572","Haiti","Education",,,,,
"Regroupement Citoyen pour une Meilleur Haiti","RECIMHA",,,"Jean-Robert Plaisimond","153, rue de la Réunion, 3eme Etage",,"3417-1326","Haiti","Education",,,,,
"Syndicat des Conducteurs et Propriétaires des Poids Lourds d'Haiti","SCPPLH",,,"Steeve Colin","153, rue de la Réunion, 3eme Etage",,"3455-1619","Haiti",,,,,,
"Bon Samaritain-MISSION d'Aide aux Pauvres ","BOSAMAP",,,"Marc Arthur PINARD","154, Lalue",,"245-4225",,,,,,,
"Association pour le Developpement des Enfants Démunis","ADED",,,"Prudent Jean Garry","154, route Fort-Mercredi prolongée",,"3658-7874","Haiti",,,,,,
"Associatin des jeunes Techniciens Fiables","AJTF-GRAND'ANSE",,,"Lucien Yvan","154, rue Stenion Vincent",,,"Haiti","Children & Youth",,,,,
"Solidarité Sociale pour le Developpement Humain","SSDH",,,"Emmanuel","154. Lalue ave John Brown",,"3446-5567","Haiti",,,,,,
"Association des Etudiants pour la Reconstruction du Bas-Artibonite","ASERBA",,,"Exilhomme Nerva","155, rue Savannah Saint-Marc,",,"748-5102","Haiti","Education",,,,,
"World Harvest For Christ ","WHFC",,,"Miriam L.FREDERICK / Rév Dale Kenneth HIPP","156, Poste Cazeau, BP.13101",,"245-1220 ","Haiti","Education, Health",,,,,
"Association Rive-Artibonitienne pour le Développement","ARAD",,,"Georges Marc Madéus","156, rue Stenion Vincent "" Renouvellement1""",,"3788-5217","Haiti",,,,,,
"Association Marchandes et Taxis des Cayes","AOMTC",,,"Frantz Benoit","157, rue?",,,"Haiti","---",,,,,
"La Source d'Or Promo Arts et Actions Touristiques","LASOPAT",,,"Luckner Christophe","157,Avenue Christophe",,"3422-9746","Haiti","Education",,,,,
"Collectif des Cadres pour le Developpement du Sud'Est","CODESE",,,"Louis dit Ridoré Sylvio","158, rue St. Suzanne Louverture, Jacmel Haiti",,"423-8584","Haiti",,,,,,
"Fondation Vision Nouvelle pour le Developpement des Nippes","FONVINNIP",,,"Ulrick St. Cyr","159, Nouvelle Cité Miragoane",,"406-4901","Haiti",,,,,,
"Hosean International Ministries","HIM",,,"Rév. Caleb Edouard LUCIEN","159, Rue 7H, Cap-Haïtien",,"408-2692 ","Haiti","Education                                                 ",,,,,
"Minitère de l'Espoir et de l'Arbre de Vie / Hope Tree of Life Ministries","MEAV/HTLM",,,"Cyprien Yvrose","159, rue Borgella",,"3718-2313","Haiti",,,,,,
"Association de Recherches pour Promouvoir la Production et la Technologie en Haiti","ARPPTH",,,"Jean Lavaud Naval","159, rue de l'Enterrement P-au-P",,"3927-7725","Haiti","Other",,,,,
"Organisation d'Aide aux Enfants en Difficultés en Haiti","ORAEDH",,,"M Bilan Délue","15A, Santo Route de la Croix des Bouquets",,,"Haiti","Children & Youth",,,,,
"Fondation Bon Samaritain de Vieilot","FOBSAVI",,,"Hilaire CHARLES","15bis, Rue Boukman, Delmas 43",,"427-5957","Haiti","Education, Health, Agriculture",,,,,
"Solidarité pour Aider les Enfants d'Haiti","SAEDHA",,,"Bejouland Jerome","16 bis, imp. Bremond A Rte du Canapé vet",,,"Haiti","Children & Youth",,,,,
"Organisation des Jeunes pour le Progrès de la Communauté Crucienne","OJPCC",,,"Camille Wishnique","16, Beudet 5 Rue Stenio Vincent Prolongée, Croix des Bouquets",,"705-5613","Haiti",,,,,,
"Association Syndicale des Emloyés du Conatel","ASSEC",,,"Edva Altemar","16, Cité de l'Exposition",,,"Haiti",,,,,,
"Combite des Patriotes Haitiens pour l'Epanouissement Social","COMPAHES",,,"Louis Agée","16, Delmas 95, route de Jacquet",,"3739-8601","Haiti",,,,,,
"Association la Liberation des Enfants Pavres d'Haiti","ALEPH",,,"Lafeille Nicolson","16, impasse Nerva Jean Charles, Puits blain",,"705-3768","Haiti","Children & Youth",,,,,
"Association pour la Cooperation, la Relance Economique et le Developpement des Investissements","ACREDI",,,"Prevot Samuel","16, impasse Soeur Georges Delmas 31",,"458-2749","Haiti",,,,,,
"Oeuvre de Bienfaisance de Carrefour et de Gressier ","OBCG",,,"Béatrice DORFEUILLE","16, route de Rivière Froide, Carrefour",,"234-0163","Haiti","Health",,,,,
"Organisation d'Aide Justifiée aux Démunis","OAJD",,,"Emmanuel Masson","16, route nationale # 2, Petit Goâve, Haiti (w.i)",,,"Haiti","Women's Programs",,,,,
"Coperation pour la Realisation des Projets Sociaux","CORPS",,,"Evens Blanc","16, rue Assad, Turgeau",,"3705-4242","Haiti",,,,,,
"Club des Amis de la Vérité Emergée","CAVE",,,"Maradona Elucien","16, rue Bourjolly, Fontamara 27",,"3727-6223","Haiti",,,,,,
"Fondation le Lieu pour les Enfants démunis","FLED",,,"Rev Pasteur Marcelie Fleurizard","16, rue Cabaret, Pv, Haiti",,"513-3810","Haiti","_______________",,,,,
"Objectif Haiti","OBJH",,,"Sterlinda S Vital","16, rue Castera, Carrefour-Feuilles",,"3409-8988","Haiti",,,,,,
"Mouvement des Jeunes Unis de Grand-Bassin","MOJUGB",,,"Jacquedir Fils Aimé","16, rue Geffrard",,"37889-221","Haiti",,,,,,
"Organisation des Rassemblements Massifs des Exclus de Delmas","OKMED",,,"Gilot Jude","16, rue Lumière Delmas 48",,"3401-9620","Haiti",,,,,,
"Association des Femmes en Action pour l'Avancement de Thomazeau","ASFAT",,,"Falide Michel","16, rue Macadieu Thomazeau",,,"Haiti","Women's Programs",,,,,
"Centre Bienfaisance pour Tous","CBPOT",,,"justina Joseph juléus","16, rue Paul Moral, cité Militaire",,"615-1950","Haiti",,,,,,
"Bureau de Defense et de Promotin des Droits Humains","BDPDH",,,"M Gonald Gaston","16, Rue St Jean",,"2213-2431","Haiti","Human Rights",,,,,
"Association des Electriciens Haitiens/o","AEH/O",,,"Bob Bazilie","160 Ave Christophe",,"427-2384","Haiti",,,,,,
"Institut Fame Pereo et le Cardinal Léger et ses Oeuvres ","IFP/CLO ",,,"Gilles CHARLEBOIS","160, Ave. Poupelard ,                         BP.1336, P-au-P",,,"Haiti","Health, Education, Water & Sanitation",,,,,
"Voix des Enfants d'Haiti","VEH",,,"Pierre Charles Benoit","164 A, rue Monseigneur Guilloux",,,"Haiti","Children & Youth",,,,,
"Centre d'Education Civique et de Sondage Electorale Haitien","COSE-HAITI",,,"Jean William","164, route de Delmas 28",,"3876-2620","Haiti","Education",,,,,
"Association pour la Formation Professionnelle des Jeunes Demunis","AFOPJD",,,"Patrick Exantus","165, rue Dr Aubry",,,"Haiti",,,,,,
"Organisation des Femmes de l'Ouest","OFALO",,,"Desir Marie Nerlande","165, rue Dr Aubry, 159 rue Borgella",,"3733-3100","Haiti","Women's Programs",,,,,
"Organisation des Jeunes pour le Développement et l'Embellissement des Coteaux","OJDEMCO",,,"Severe Patrick / President","166, Chevalier, Du Sud",,"3603-1400","Haiti",,,,,,
"Espoir Anaïse","EA",,,"Denize Z. DOUYON / Gladys LAUTURE","167, Ave Jn. Paul II, Turgeau, BP.322, P-au-P",,"245-6971 ","Haiti","Health                                   ",,,,,
"Groupement  des Amis pour la Protection de la Santé, l'Education, l'Environnement et la Cohésion Sociale","GASPREC",,,"Ruth Saint Clair / Président","167, rue Mon Seigneur Guilloux",,"3425-0211","Haiti",,,,,,
"Centre Haitien des Ingenieurs de Constructions","CHICO",,,"André Money Fils","1675, rue Republicaine, Petit-Goave  "" Renouvellement",,"287-0922","Haiti",,,,,,
"Force d'Entraide Nationale pour le Développement","FENAD",,,"Metellus Michel / Coord. Glne","168, Delmas 32, "" Renouvellement 2""",,,"Haiti",,,,,,
"Viva Rio","VR",,,"Rubem Fernandes","168, Place Boyer, angle rue BLVRD",,"256-6208-","Haiti",,,,,,
"Organisation des Jeunes pour le Developpemnt du Sud","OJDS",,,"Rene Datis","168, rue Auxilliaire Fougère/Cayes",,,"Haiti",,,,,,
"Organisation Chrétienne Le Bon Sauveur ","OCBS",,,"Fritzner JULES","168, Rue Monseigneur Guilloux",,"222-4718","Haiti",,,,,,
"Association familiale de l'Art et du Developpement","AFAD7",,,"Antoine Jean Djens","168, Rue Pavée",,"453-1970","Haiti","Arts & Culture",,,,,
"Bureau d'Encadrement Social des Jeunes","BENJES",,,"Cerise Serge","17 bis A Acacia Prolongée, rue Jean Georges Christ-Roi",,"718-7224","Haiti",,,,,,
"Vision Nouvelle pour le Developpement Local et Durable","VNDLD",,,"Daniel Olicoeur","17 bis, rue St Martin prolongée, cité Marc ( Solino)",,"3469-5702","Haiti",,,,,,
"Haiti en Action un Nouvel Ordre Social","HANOS",,,"Gabriel Jesulème","17 ruelle de castine, delmas 24",,"621-5352","Haiti",,,,,,
"Haitian Resource Development Foundation","HRDF",,,"M. Georges MOISE","17, 2e Ruelle Wilson, Pacot",,"245-4117 ","Haiti","Health, Education",,,,,
"Solidarité des Handicapés Haitiens","SHH",,,"Ben Prosperly","17, angle rue Soukars et Tovar, Cote Plage 20",,"525-3605","Haiti",,,,,,
"Action Communautaire des Paysans des Roseaux","ACOPARO",,,"Etienne Patrick","17, Bonnes Gens, 4eme setion des roseaux",,"3791-6205","Haiti","Agriculture",,,,,
"Association Samaritain des Etudiants Haitiens Vivant à l'Etranger","ASEHVE",,,"Elysée Gregory","17, Calle Genaro , Rincon Santiago, Republique Dominicaine, 7 Delmas 31, rue Maguana P-au-P",,,"Haiti","Education",,,,,
"Cris de la Jeunesse Haitienne pour le developpement Durable","CJHDD",,,"St. Lot Wisner","17, imp. Jackson, Mais gaté 23 A",,"3251-469-","Haiti",,,,,,
"Association Vent de Delivrance/Wind of Delivrance","AVD",,,"Piere Cenat","17, Lilavois Val Arbres 2, rue Dalde # 38",,"3459-9422","Haiti",,,,,,
"Centre d'Appui à la Revalorisation de l'Environnement et de la Sécurité Sociale","CARESS",,,"Paul Renoir","17, Mais Gâté",,"484-2037","Haiti",,,,,,
"Centre d'Appui à la Revalorisation de l'Environnement et de la Securité Sociale pour le Peuple Haitien","CARESS-PH",,,"Paul Renoli","17, Mais Gâté, en face de la Place Puplic de l'Aeroport",,"3480-2037","Haiti",,,,,,
"Groupe Travailleurs Patriote de Jacmel","GTPJ",,,"Augustin Alpha","17, Portail la Gosseline Jacmel",,"3869-3107","Haiti",,,,,,
"Groupe Travailleur Patriote de Jacmel","G.T.P.J",,,"Augustin Alpha / Coordonnateur Général","17, Portail la Gosseline, Jacmel",,"3869-3107","Haiti",,,,,,
"Service Oeucuménique d'Entraide ","SOE",,,"Richard BERCY","17, Rue 4, P-au-P",,"245-2242","Haiti","Health, Education",,,,,
"France-Haïti Partage","FHP",,,"Mme Louise LEFRESNE","17, Rue Babiole, Port-au-Prince",,"551-8463","Haiti"," ",,,,,
"Centre de Promotion des Techniques Informatiques ","CPTI",,,"François H. BANICA","17, Rue Bonnet, Saint-Marc",,"279-4444 ","Haiti","Education",,,,,
"Association pour la Formation Artisanale et la Fabrication  Marbière","AFAMA",,,"Jean W. Larore","17, rue Borno "" Renouvellement 1""",,"3443-5202","Haiti","Economic Development",,,,,
"Associatioj des Membres de la Communauté Evangelique de Milon","AMCEM",,,"Calixte Jimmy","17, rue Celeis",,"3561-7125","Haiti","Arts & Culture",,,,,
"Association Bourgeons d'Haiti","ABDH",,,"______________","17, rue Charles Jeanty",,"709-6516","Haiti","Other",,,,,
"Extravius Jean-Gilles Assistance Légale ","EJGAL",,,"Jean Kerby JEAN-GILLES","17, Rue des Miracles",,"557-6258","Haiti","Human Rights",,,,,
"Groupe d'Action pour la Sauvegarde de l'Environnement et du Tourisme","GASETT",,,"Olgat Ulysse","17, rue Edmond Paul, P-au-P",,"3804-2969","Haiti","Arts & Culture",,,,,
"Collectifs pour le Developpement de Cap-a-Four, Tiburon","CODECAT",,,"Bellange Dominique","17, rue Fouchard Prologée, Carrefour-Feuilles",,"221-7791","Haiti",,,,,,
"Association des Educatrices et Educateurs de Mirebalais","AEM/MIREBALAIS",,,"Dubuisson James","17, rue Jean Phillipe",,"3452-5125","Haiti","Education",,,,,
"Association des Femmes pour l'Intégration et la Promotion des Enfants Abandonnés","AFIPEA",,,"Mme Manitha Sylla / Cood. Gnle","17, rue Mandela, village de Dieu, bicentenaire",,"3825-3672","Haiti","Women's Programs",,,,,
"Haiti Infos Plus","HAIP",,,"Hudler Josepph","17, rue Marron Inconnu",,"222-7110","Haiti","Health",,,,,
