,,,,"name","acronym","no. inscription","date de reconnaissance","contact person","address","website","phone","base country","sector","location","alis notes","nationalite","no. du moniteur","notes"
,,,"lo","Amour en Action  (Love in Action)","AEA",,,"Duclair Atis, President: 609-707-4561","1306 Shelton Drive, Union, NJ 07083","www.amourenaction.org","609-707-4561","USA","Education, Food Security, Health","Cabaret, Luly, Girand, ",,"USA",,"Amour~en~Action is a non-profit Christian Organization dedicated to providing humanitarian and educational services to the needy citizens of Haiti. Our mission is to improve their living conditions while creating hope for a brighter future. Our web site provides pictures, news, information, testimonials that serve to explain our mission. For more information on Amour~en~Action, click to the right. "
65,,,,"Ananda Marga-Universal Relief Team","AMURT","B-0424",10-Oct-2007,"Markus ROSBACH","19, Rue Camélia, Delmas 69",,"665-9349",,"Education, Humanitarian Assistance, ","West (Bourdon)",,"Haitian",,
68,,,,"Armée du Salut","AS",,5-Jul-1985,"Franck LOUISSAINT","20, Delmas 2, BP. 301, P-AU-P",,"222-4502",,"Education, Health, Humanitarian Assistance","                            South                                                                                              West",,"Internationale","# 74  21/11/85",
73,,,,"Assemblée Spirituelle Nationale des Bahai's d'Haïti ","ASN",,15-Dec-1983,"Georges MARCELLUS","22-24, Ave Ducoste                            BP. 1247, P-au-P",,"222-7363",,"Education, Agriculture, ","West                       Artibonite",,"Internationale","# 18     5/3/84",
76,,,,"Association d'Aide aux Enfants Deshérités Haïtiens ","AAEDH",,"8- Avril-1987","Dumas MAUGILE","13, Ruelle Berne, Bois-Verna ",,"245-0508",,"Education, Health, Economic Development","West",,"Haitian","# 64,  6/8/87",
79,,,,"Association d'Encadrement pour le Développement de l'Arrière-Pays ","AEDAP",,8-Feb-1984,"Jean Th. LINDOR","Delmas 29 # 16, rue des Miracles # 96",,"246-0115",,"Education, Agriculture, Economic Development","South",,"Haitian","# 37 27/5/84",
101,,,,"Association Haitian Pour le Développement Local","AHDL","B-0401",25-Sep-2006,"Juliette R. DOSSAINT","Eden Plaza, Apt 109, Rue Rigaud, Pétion-Ville",,"408-2692",,"Education, Health, ","Deslandes,             4e Section Communale de Savanne-à-Roche (Petite Rivière)",,"Haitian",,
112,,,,"Association Nationale des Scouts d'Haïti","ANSH",,20-Dec-1984,"Maxeau EDOUARD","147, Dr. Aubry BP. 412, P-au-P",,"222-2326",,"Education, Health, Economic Development",,,"Haitian","# 25  01/4/85 ",
113,,,,"Association Nationale des Scouts Eclaireurs d'Haïti","ANSEH",,,"Mme. Joseph DANTES","Blvd. Harry Truman Bloc Education Nle",,"222-7538",,"Education, Health, Economic Development","West                       Artibonite",,"Haitian",,
,,,"gc","Association of Volunteers in International Service ","AVSI",,,,"HQ: 125 Maiden Lane, 15th Floor, New York, NY 10038","http://www.avsi-usa.org/","(212) 490-8043",,"Education, Children & Youth, Agriculture",,,,,
117,,,,"Association Por La Paz Y El Desarrollo ","PAZ Y DESARROLLO","B-0319",22-May-2003,"Muriel Brihuega ALVAREZ  Fannie Anne ROBICHON","Rte. Marin 36, Barrière 49 (rte Ntle # 1), BO.992, P-au-P, Haïti ",,"557-8172",,"Education, Agriculture, Water & Sanitation","Plaine du Cul-de-Sac",,"Spanish",,
123,,,,"Association pour la promotion Sociale et le Community Development ","APROSDEC",,23-Apr-1987,"André B. LIMONTAS ","135, Rue Sans-Fil,                       BP.15171, P-V",,"223-8571",,"Education, Health, Agriculture","Cabaret",,"Haitian","# 64    6/8/87",
130,,,,"Association Services Secours ","ASS",,17-Nov-1988,"Armand TELCINORD","52, Rue Pacot, BP. 2299, P-au-P",,"245-4517",,"Education, Agriculture, Economic Development",,,"Haitian",,
135,,,,"Ayiti Education ","A.E","B-0314",10-Apr-2003,"Joël GOUY","23, Rue Pierre Monteil, Péguy-Ville",,"413-9217",,"Education ","Tabarre",,"French",,
,,,,"Beatitudes Inc",,,,"sandy_chai@swbell.net","17 Edenfield Cove, Little Rock, AK 72212","beatitudesinc.org","501-257-7306","US","Education ",,,,,
191,,,,"Centre Children International Life Line d'Haiti ","CCILL",,8-Aug-1993,"Nicole DIEUDONNE","67,  rue Grande Plaine, Croix-des-Bouquets, Dargout",,"248-8590",,"Education, Health, Food Security","Coix-des-Bouquets ",,,,
199,,,,"Centre d'Aide et de Développement de l'Education ","CADE","B-0332",21-Aug-2003,"Harvé Louis JEAN-CHARLES","18, Rue Duncombe",,"245-0265",,"Education ","Canapé-Vert",,"Haitian",,
212,,,,"Centre de Promotion des Techniques Informatiques ","CPTI","B-0338",21-Sep-2003,"François H. BANICA","17, Rue Bonnet, Saint-Marc",,"279-4444",,"Education ","Saint-Marc                                 ",,"Haitian",,
216,,,,"Centre de Recherche pour le Développement ","CRD","B-0304",25-Nov-2002,"Calixte CLERISME","83, Angle des rues Lambert & Rigaud P-V",,"257-9100",,"Education ","Chateau                       Commune d'Arniquet",,"Haitian",,
"x",,,"c","Centre de Recherches Sociales et de Diffusion Populaire","CRESDIP ",,,,"B.P. 15217 rue Garoute Pacot Port-au-Prince Haiti ",,"2245-9694",,"Education ",,,,,
252,,,,"CENTRE D'EDUCATION POPULAIRE","CEP",,,"Jean-Robert Chéry","10 rue Saint Gerard Carrefour -Feuilles Port au Prince Haiti",,"510 5337","Haiti","Education ",,,,,
225,,,,"Centre d'éducation Spéciale","CES",,,"Legrand Bijoux","73 rue de l'Enterrement Port au prince Haiti",,"223-6167/",,"Education ",,,,,
235,,,,"Centre Haïtien pour la Promotion de la Femme ","CHREPROF",,4-Jun-1984,"Marie-Carmelle LAFONTANT","31, Rue Roy, BP.13247, Delmas",,"222-2016",,"Education, Humanitarian Assistance, ",,,"Haitian","# 37  28/5/84",
246,,,,"Centre Récréatif pour l'Epanouïssement de l'Enfant","CEREEF","B-0411",4-Jan-2007,"Patricia Gourgue ALLIEN","32, Rue Bourjolly, Fontamara 27",,"234-0310",,"Education ","Fontamara          Pacot                 Zone Métropolitaine",,"Haitian",,
247,,,,"Centre Universitaire Institut Roi Henry Christophe ","IRHC",,15-Dec-1983,"Louis NOISIN","Cap-Haïtien, Rue 8 H-I, BP.98",,"222-1316",,"Education, Advocacy & Policy, ","Cap-Haïtien",,"Haitian","# 18   5/3/84 ",
268,,,,"Christianville Foundation Inc. ","CF",,6-Nov-1984,"Wayne HERGET","Gressier, La Salle, BP.1693, P-au-P",,"234-0489",,"Education, Health, Agriculture",,,"American","# 3   10/01/85",
298,,,,"Comité Haïtien de Développement ","CHADEV",,8-Feb-1984,"Bernard ETHEART","100, Ave. Lamartinière,                             BP.241, P-au-P",,"245-1910",,"Education, Health, Economic Development","Croix Fer",,"Haitian",,
300,,,,"Comité National de Solidarité Laïque ","CNSL","B-0267",15-Nov-1999,"Mme Christiane DESPORTES","14, Rue Abbé Huet, Jérémie ",,"284-6252",,"Education, Humanitarian Assistance, ","Grande Anse: Jérémie",,"French",,
308,,,,"Compassion International","CI",,12-Nov-1983,"Louis Edouard LASSEGUE","438, Delmas, BP.2539, P-au-P",,"246-2781",,"Education ","Haïti",,"American","# 84-A, 01/12/1983 ",
309,,,,"Compassion of Christ Word Mission","CCWM","B-0370",5-Jul-2005,"Brenda Joyce FOLLER Past. Jean Franer MALBRANCHE                      Mme Nicole S. MALBRANCHE","Rte Ntle #2, Merger,Gressier",,"512-9760",,"Education ","Merger",,"American",,
"x",,,"c","Confédération Nationale des Éducateurs d'Haïti","CNEH ",,,"cnehaiti@haitiworld.com ","impasse Noe Port-au-Prince Haiti",,"2224-4482",,"Education, Children & Youth, ",,,,,
,,,"lo","Coordination Régioinale des Organisations du Sud-Est","CROSE",,,"Gerald Mathurin, crosebepp@yahoo.fr","Impasse des Orangers, Local ancienne aviation civile de Jacmel",,"2541-017","Haiti","Education, Food Security, ","Sud-Est",,"Haiti",,"La Coordination Régionale des Organisations du Sud'Est (CROSE) dont l'origine remonte l'année 1996 a pris naissance dans le cadre des efforts visant la promotion de nouvelles réflexions autour de la problématique du développement, la définition d'un  modèle de gestion participative et l'implémentation de nouveaux mécanismes d'intégration des organisations de base de la société civile dans le processus du changement global. Couvrant actuellement tout le Sud-Est, la Coordination Régionale des Organisations du Sud'Est  (CROSE) cherche à s'affirmer  au niveau du département comme un véritable mouvement social régional axé sur l'implication des organisations comme structure de base."
"x",,,"c","Corps de la Paix Américain ",,,,,"115 Rue Pan Americaine Petion Ville Port-au-Prince Haiti","http://www.oas.org/ ",,,"Education ","International ",,,,
347,,,,"Délégation Catholique pour la Coopération ","DCC","B-0235",4-Apr-1996,"Marc LARCHET","Collège Saint-Louis de Gonzague",,"245-4959",,"Education ","Haïti",,"French",,
,,,"x","Digicel Foundation",,,,"Josefa Gauthier, Executive Director, josefa.gauthier@digicelgroup.com","#151 Angle Ave Jean Paul II, Impasse Duverger, Port-au-Prince, Haiti, P.O. Box 15516","www.digicelhaitifoundation.org","3777-7025","Haiti","Education ","Central Plateau, Port-au-Prince, Gros Morne",,"Haitian",,"The Digicel Foundation funds projects that build communities and community spirit.  They work through structured community organisations, and we as with the Government and NGOs to support programs which embrace and reflect the educational, social and cultural aspirations of the community. They are particuarly interested in projects that address community needs, encourage volunteerism and civic engagement, promote leadership with integrity, promote opportunities for marginalized groups, and provide tanglible infrastructure like school buildings."
"x",,,"c","École Nationale Supérieure de Technologie","ENST ",,,"enst@ht.refer.org ","Route Nationale # 1 Varreux Port-au-Prince Haiti ","http://www.ht.refer.org/haiti_ct/edu/enst/enst.htm ",,,"Education ","Training and Research$",,,,
369,,,,"Ecoles Sans Frontières ","ESF","B-0251",30-Oct-1996,"Vincent LAROUSSINIE","37, Route Desprez, Pacot",,"245-0707",,"Education ","Cayes                    Jacmel",,"French",,
372,,,,"Eglise de l'Alliance Chrétienne Indépendante ","EACI",,24-Jul-1984,"André J. LOUIS","87, Ave. Jean-Claude Duvaller,           BP. 1712, P-au-P",,"234-2212",,"Education, Agriculture, ",,,,"# 71, 4/10/84",
373,,,,"Eglise du Nazareen","ENH",,17-Nov-1983,"Rév. Terry R. KETCHUM / Rév. Lucien JEAN-BAPTISTE","Route de Frères, Pétion-Ville, BP.1323, P-au-P",,"257-4249",,"Education, Health, Economic Development",".West                     .North               .Grand'Anse   .Artibonite   .North'West           .Centre                     .South                     .South-East",,"American","# 90, 26/12/83",
374,,,,"Eglise Evangélique Eben Ezer ","EEEE",,25-Apr-1986,"Michel MORISSET","BP.91, Gonaïves",,"274-0915",,"Education, Health, Economic Development","Gonaïves",,"Haitian","# 70, 28/8/86",
375,,,,"Eglise Evangéliques Indépendantes Unies d'Haïti ","EEIUH",,4-Mar-1987,"Francinor HYPPOLITE Cazeau OBIERGE                Kénold CAZIMIR","Mare Rouge, Jean-Rabel, BP. 1637, P-au-P",,,,"Education, Agriculture, Health","North-West",,"Haitian","# 31, 15/4/87",
377,,,,"Eglise Méthodiste Libre à l'Intérieur d'Haïti ","MMLIH",,18-Jun-1985,"Warren LAND","200, Delmas 28B, BP.994, P-au-P",,"246-0941",,"Education, Health, Water & Sanitation",,,,"# 67, 23/9/85",
409,,,,"FOKAL",,,,,,,,,"Education ",,,,,
416,,,,"Fondation Bon Samaritain de Vieilot","FOBSAVI","B-0406",25-Sep-2006,"Hilaire CHARLES","15bis, Rue Boukman, Delmas 43",,"427-5957",,"Education, Health, Agriculture","Viellot, 5e Section Communale Verettes",,"Haitian",,
417,,,,"Fondation Chrétienne d'Education de Santé et de Développement ","FOCESD","B-0177",10-Apr-1995,"Pasteur Jacob MATHURIN","13, rue Codada, Route Nazon ",,"249-4745",,"Education, Health, ","Grand'Anse             l'West            Jacmel",,"Haitian",,
418,,,,"Fondation Chrétienne pour le Développement d'Haïti ","FCDH","B-0326",23-Jul-2003,"Jean-Robert SYLVAIN","6, Rue Cameau ",,"223-7893",,"Education, Humanitarian Assistance, ","West                             North                      Artibonite",,"Haitian",,
419,,,,"Fondation Coeur Pour Haïti ","FCPH",,19-Jul-1983,"Johan SMOORENBURG","Route Lilavois, Bon Repos, BP.2402,             P-au-P",,"248-2611",,"Education, Humanitarian Assistance, ","West",,"Dutche","# 72, 13/10/83",
"x",,,"c","Fondation Connaissance et Liberté","FOKAL ",,,"mplfokal@hainet.net ","Rue des Marguerites Turgeau Port-au-Prince Haiti","http://www.soros.org/ ","2510-9814",,"Education "," ",,,,
421,,,,"Fondation d'Aide aux Défavorisés ","FAD","B-0282",5-Jun-2001,"Charles Yvon CASTILLON","11 Rue Raphael, Bloc Ste Thérèse, Pétion-Ville,",,"257-0199",,"Education ","West: Léogane",,"Haitian",,
422,,,,"Fondation de l'Amitié Haïtiano American  (Haitian American Friendship Foundation)","HAFF",,9-Jul-1984,"Greg Van SCHOYCK","BP.15281, Pétion-Ville",,,,"Education ","Pignon              ",,"American",,
426,,,,"Fondation des Pèlerins Indépendants pour le Développement Durable d'Haïti","FONPIDEH","B-0405",25-Sep-2006,"Bellony BELLE AMOUR","Petite Rivière Bayonnais, 3e Section Communale des Gonaïves",,"461-2321",,"Education, Health, Environment","Petite Rivière Bayonnais, 3e Section Communale des Gonaïves",,"Haitian",,
436,,,,"Fondation Haitian d'Appui au Développement Local","FONHADEL","B-0440",17-Jun-2008,"Suzy J. BIEN-AIME","Tabarre 44 ou 42",,"3443-1694",,"Education ","L'Eastère",,"Haitian",,
438,,,,"Fondation Haitian de Développement Intégré ","FHADI","B-0165",13-Aug-1993,"Frantz PERPIGNAN","Diquini 63, No. 11",,"234-3782",,"Education, Health, Economic Development",,,"Haitian","# 69, 30/8/93",
441,,,,"Fondation Haitian de Réhabilitation Sociale","FOHRS","B-0402",25-Sep-2006,"Antoine ATOURISTE","9, Rue Biassou, Delmas 31",,"2456-268",,"Education, Health, ","Pétion-Ville(Rte Frères)            Delmas(Puits Blains)",,"Haitian",,
"x",,,"c","Fondation Haïtienne de l'Enseignement Privé","FONHEP ",,,"vanyab@fonhep.org, fonhep@acn2.net ","BP 2014 Port-au-Prince Haiti ",,,,"Education, Children & Youth, "," ",,,,
446,,,,"Fondation Hands Of Love ","FHOL",,31-Jul-1986,"Buddy  L. JOHNSON","Fontamara 47, Ave. Roosevelt, BP.11243, Carrefour",,"234-2738",,"Education, Health, Economic Development","Carrefour",,,"# 86,    23/10/86",
451,,,,"Fondation Marie Michelle R. Fournier ","FMMRF","B-0342",27-Oct-2003,"Marie Michelle R. FOURNIER","Saint-Marc, Bois Neuf, 84km",,"548-3017",,"Education ","Commune de St-Marc",,"Canadian",,
454,,,,"Fondation Mission de l'Espoir","FOME","B-0384",17-Jan-2006,"M. Jean Marc JEAN-LUBIN","777, Rte Ntle #1, Titanyen, Source Matelas",,"2513-490",,"Education, Health, ","Titanyen, Cabaret",,"American",,
459,,,,"Fondation Paul Gérin-Lajoie pour la  Coopéra-tion Internationale ","FPGL","B-0281",5-Jun-2001,"M. Benoit FOURNIER","75,  Angle Rues Pinchinat & Surpris Laurent, St Marc.   B.P 34. St Marc",,"279-1906",,"Education ","Artibonite: Saint-Marc                  Gonaïves                   Dessalines",,"Canadian",,
461,,,,"Fondation Peter Hesse ","FPH",,17-Nov-1988,"Peter HESSE","Angle Rues Lamarre et Moïse, Pétion-Ville",,,,"Education, Food Security, ",,,,"# 79, 12/10/89",
475,,,,"Fondation Yélé Haïti","FYH","B-0391",3-Mar-2006,"Mme Maryse PENETTE KEDAR","52, Rue Geffrard, Pétion-Ville                        info@yele.org",,"256-4632",,"Education, Health, Environment","Tabarre, Carrefour, Croix-des-Bouquets, Delmas, Port-au-Prince, Pétion-Ville",,"Haitian",,
500,,,,"For Haiti With Love ","FHWL",,19-Jun-1986,"Don DEHART","Cap-Haïtien,  Hôtel Beck, BP.48, Cap-Haïtien",,"262-2665",,"Education, Health, Economic Development","North",,,,
512,,,,"Foyer de Consultations et d'Urgences Médicales ","FOCUMED","B-0248",21-Oct-1996,"Jean Marcel FORTE","270, route de Delmas",,"246-3295",,"Education, Health, ","South  (Maniche)",,"Haitian","# 46, 16/6/97",
"x",,,,"GHRAP - GROUPE HAITIEN DE RECHERCHES ET D;ACTIONS PEDAGOGIQUES",,,,,,,,,"Education ",,,,,
545,,,,"Groupe d'Appui aux Parents d'Elèves ","GAPEL","B-0287",19-Mar-2002,"Mme Denise Calvin ANOVAL           Ketelie Alfred DOMERSANT                         Raymond ETIENNE","3, Impasse Epinard, Delmas 31",,"246-4896",,"Education ","North-West",,"Haitian",,
"x",,,"c","Groupe d'Appui aux Rapatriés et Réfugiés","GARR ",,,"info@garr-haiti.org ",,"http://www.garr-haiti.org/ ","2260-5710",,"Education "," ",,,,
526,,,,"GROUPE D'APPUI AUX RAPATRIES ET REFUGIES HAITIENS","GARR",,,"Colette Lefpinasse","N69 rue Christ roi, Boudon, Haiti","gaarhaiti@yahoo.com","22456525",,"Education ",,,,,
555,,,,"Groupe de renforcement d'actions combinees pour le developpement durable","GRACDDU",,,"Lajeau Nathanael, Meilleur Pierre Audin, Josefa Gauthier","65 rue Chery Cayes, Haiti","Gracddu.org@gmail.com","3793-7550",,"Education ",,,,,
573,,,,"Haiti Education & Leadership Program","HELP",,,,,,,,"Education ",,,,,"HELP provides merit-based university scholarships in Haiti for top high school graduates who could never afford the tuition. HELP serves bright, motivated young men and women with a proven record of academic achievement for whom the only obstacle to a university education and a better future is the lack of financial resources. HELP's scholarships contribute to the growth of Haiti's professional class and change Haiti's long-standing inequities and rigid class structure. "
591,,,,"Harvest International, Inc","HI","B-0345",24-Nov-2003,"Rév. Past. Etienne CHARLES","12, Cité Lumière, Cayes",,"404-7622",,"Education ","Cayes",,"American",,
604,,,,"Hosean International Ministries","HIM","B-0403",25-Sep-2006,"Rév. Caleb Edouard LUCIEN","159, Rue 7H, Cap-Haïtien",,"408-2692",,"Education, Economic Development, ","Pignon              Passe               Cayimite             Lapila                       La Victoire            Cap-haïtien",,"American",,
,,,"lo","Institut National pour le Developpement et la Promotion de la Couture","INDEPCO",,,"Hans P. GAROUTE, indepcoi@yahoo.com","3, rue P. Anselme, rte de l’Aeroport","www.indepco.org"," 1513-2120/2813","Haiti","Education, Children & Youth, ","Tous les départments",,"Haiti",,
629,,,,"Institut Supérieur de Formation Politique et Sociale ","ISPOS","B-0324",29-May-2003,"Garaudy LAGUERRE","56, Rue Darguin, Place Boyer, P-V",,"256-1145",,"Education ","Pétion-Ville",,"Haitian",,"Fermee"
630,,,,"Institut Toussaint","IT",,29-Sep-1987,"J. Géresté HILAIRE","Rue Magloire Ambroise Jacmel",,"248-3911",,"Education, Humanitarian Assistance, ","Jacmel",,"Haitian",,
"x",,,"c","Institut Universitaire Quisqueya Amérique ","INUQUA ",,,"inuqua_info@yahoo.fr ","15 rue O Avenue Jean Paul II Turgeau Port-au-Prince 19013 ",,,,"Education ",,,,,
636,,,,"Inter Aide ","I.A",,17-Nov-1988,"Thibault LEVESQUE","2bis, ruelle Lechaud (en face du #11), Bourdon",,"244-4736",,"Education, Health, Water & Sanitation",,,"French","# 74,  25/9/89",
,,,,"Joy in Hope",,,,"info@joyinhope.org","PO. Box 968, Ellenton, FL 34222","www.joyinhope.org","941-810-7060",,"Education, Children & Youth, ","parent org of Haitian Children's Home in Jacmel ",,,,
664,,,,"Kindernothilfe-Haiti","KNH-H","B-0442",9-Sep-2008,"M. Alinx Pierre Rene JEAN BAPTISTE","10, Rue Fontenay, Delmas 75 knhhaiti@yahoo.de",,"2213-780",,"Education ","Delmas 2",,"German",,
,,,"lo","La Fondation Lucienne Deschamps",,,,"Claude Deschamps","Angles rues Grégoire et Chavannes, Pétion-ville, Haïti","http://www.hailog.com/fondationluciennedeschamps/","257-3596","Haiti","Education, Arts & Culture, ",,,"Haiti",,"La Fondation Lucienne Deschamps est un organisme à but non lucratif créé en 1998 et impliqué de manière concrète dans  les secteurs de l’éducation, du sport, des arts et  de la culture.  Sa mission est de recueillir des fonds destinés à soutenir le développement, la réalisation de programmes et de documents destinés à l’apprentissage scolaire, à la conscientisation  à l’éducation civique et à l’alphabétisation, à la promotion de l’esprit sportif et la motivation de  la création  par les arts et la culture.  La Fondation Lucienne Deschamps est gérée par un conseil d’administration composé des héritiers directs de Madame Lucienne Deschamps, qui donne  délégation de pouvoir à un Directeur exécutif pour la bonne gestion de la Fondation. "
678,,,,"La Sainte Eglise du Pelerin ","SEP",,9-Jul-1987,"Rév. Jules BOLIER E          Rév. Michel NAVARRE","Drouillard,Rte  Nle #1    à coté Antenne Radio Haïti Inter, BP. 1744                    P-au-P",,"416-0260",,"Education, Agriculture, Health","West   Artibonite             North",,"Haitian","# 34,  21/4/88",
679,,,,"La Societe d'agence de Secours et de Bienfaisance aux Enfants Defavorises","ASEBED","B-0446",9-Sep-2008,"M. Armstrong Joseph JEAN CHARLES","12, Village Planete, Mombin Lataille, Cap-Haitien                                              asebed@hotmail.com",,"3458-7892",,"Education ","Borgne                        Port Margot Plaisance                        Pilate",,"Canadian",,
,,,,"Lifeline  Haiti",,,,"lifelinehaiti@gmail.com (Bob Davison)","Bay 3, 1335 TransCanada Way, S.E., Medicine Hat, AB. T1B, 1J1  CANADA","www.lifelinehaiti.com","403-488-7577",,"Education, HIV/AIDS, ","Jacmel",,,,
704,,,,"Mains Unies/ Men Ansanm","MU","B-0393",3-Mar-2006,"Mgr. Emmanuel CONSTANT / Père Gérard DORMEVIL","1, Rlle W. Moss, Route ODPG, Gonaïves, Haïti / HT4110",,"448-2531",,"Education, Health, Agriculture","Artibonite: Gonaïves",,"Haitian",,
,,,"gc","Ministere de L'Education Nationale et la Formation Professionel d'Haiti *","MENFP",,,"Ministere de L'education Joel Jean Pierre",,"http://www.eduhaiti.gouv.ht/",,,"Education ",,,,,
742,,,,"Ministère des Bons Samaritains ","MIBOSAM","B-0325",23-Jul-2003,"Larousse JOSMA","11, Rue Barthélémy, Delmas 18",,"257-3623",,"Education, Health, Humanitarian Assistance","Delmas",,"Haitian",,
747,,,,"Mission Baptiste d'Haïti ","MBH",,19-Mar-1986,"Eldon AUSHERMAN     Joyce AUSHERMAN","Gonaïves, BP.117",,"222-0201",,"Education, Health, ","Gonaïves",,"Haitian","# 70, 28/8/86",
748,,,,"Mission Bon Berger ","MBB",,17-Nov-1988,"Dantus LOUIS","Milot, Cap-Haïtien",,"262-1942",,"Education, Health, Humanitarian Assistance","North",,"Haitian"," ",
749,,,,"Mission de Vie","MV",,3-Aug-1984,"Joseph ARITHYL","8, Rue Christophe, Casoleil, Gonaïves, BP 104",,"274-9558",,"Education, Humanitarian Assistance, Humanitarian Assistance","Artibonite",,"Haitian","# 68, 20/9/84",
750,,,,"Mission des Eglises Baptistes Indépendantes","MEBI",,30-Aug-1984,"Leslie G. HARRIS","BP.13338, Delmas",,,,"Education, Health, ",,,"Haitian","# 68,  26/9/85",
751,,,,"Mission des Eglises Evangéliques Baptistes Associées ","MEEBA",,2-Apr-1986,"Paul HARRIGAN","28, 2ème Rue Jeune , Delmas 19, BP.2177, P-au-P",,"257-1011",,"Education, Health, Humanitarian Assistance",,,"Haitian","# 49,  19/6/86",
752,,,,"Mission Evangélique Baptiste du Sud d'Haïti ","MEBSH",,29-Sep-1987,"Rév. Pharnest ULYSSE","71,Cayes, BP.1050, P-au-P",,"286-0462",,"Education, Health, Humanitarian Assistance","South",,"Haitian","# 10,  01/2/88",
753,,,,"Mission Evangélique de la Trinité et de la Nouvelle Vie ","METNV",,18-Jun-1985,"Rév. Jacques FOURCAND","Cité Drouillard, rue Vulgain # 85, BP.93, P-au-P",,,,"Education, Health, Humanitarian Assistance",,,,"# 64,   12/9/85",
754,,,,"Mission Evangélique du Nord d'Haïti ","MENH","B-0178",17-Jun-1995,"Rév. Jean Berthony PAUL","Plaine du Nord, Cap-Haïtien",,"246-1328",,"Education, Agriculture, ","North",,"Haitian",,
756,,,,"Mission Frères Unis Non Chrismatiques","MFUNC",,20-Feb-1987,"Jean J. SURIN","Ave. Roosvelt # 199,  BP. 2371, P-au-P",,,,"Education, Health, Economic Development",,,,"# 43,  25/5/87",
757,,,,"Mission Mennonite en Haïti ","MMH",,21-Aug-1984,"M. David K.","Rue Milforte, Carrefour Marin",,"238-4643",,"Education, Health, Agriculture",,,,,
759,,,,"Mission Possible","MP",,21-Jan-1985,"Yamilel STITT           Philippe SNYDER","62, Ave. Christophe, Apt 1,  BP.1203, P-au-P",,"245-0830",,"Education, Health, ",,,"American","# 6, 21/01/85",
760,,,,"Mission Pour Christ Inc. ","MPC,INC",,8-Feb-1984,"Beaullère SENE","BP.1541",,"234-3997",,"Education, Health, Humanitarian Assistance",,,,"# 37, 28/5/84",
761,,,,"Mission Vie et Paix","MVP","B-0380",16-Nov-2005,"Mme Nicole SIMARD","10, Rue Cassagnol, La Source, Jérémie",,,,"Education, Health, Agriculture","Commune Roseaux, Grand'Anse",,"Haitian",,
767,,,,"Mouvement Social des Jeunes d'Haïti ","M.S.J.H.","B-0200",20-Nov-1995,"Jean-Robert LHERISSON","Rue des Miracles # 53, 3ème. étage,  P-au-P, Haïti",,"222-4786",,"Education ","Bas Morne l'Hôpital",,"Haitian",,
771,,,,"Movimiento Por La Paz El Desarme Y La Libertad ","MPDL","B-0218",22-Jan-1996,"Judith ST. FORT","22, Rue Jean Baptiste, Canapé-Vert",,"257-2723",,"Education ","Les Cayes",,"Spanish","Fermee",
778,,,,"New England And World Missions ","NEW MISSIONS",,9-Aug-1988,"Jeanne DETELLIS          Georges DETELLIS","Léogane, Blrey Bord de Mer, BP.11107",,,,"Education, Food Security, ","West",,"English","# 20,  9/3/89",
780,,,,"North West Haïti Christian Mission ","NWHCM","B-0333",21-Aug-2003,"Larry OWEN","7, Hôpital St-Louis du Nord",,"268-5810",,"Education, Food Security, ","North-West ",,"American",,
,,,"x","Open Learning exchange","OLE",,,"Dr. Richard Rowe, richard@ole.org",,,"617.438.0338","USA","Education ",,,,,"OLE is working to ensure every child a quality basic education by 2015 by creating networks of nation-based Centers that demonstrate the power of free and open educational content using low-cost technologies and that motivate governments to make the essential financial investments. "
804,,,,"Open Society Institute ","OSI",,,,,,,,"Education, Advocacy & Policy, ",,,,,
808,,,,"Opération Hope for Children of Haïti","OHCH","B-0404",25-Sep-2006,"Eddy DELALEU","110, Rte Ntle 2, Morne à Bateau, Gressier",,"501-6095",,"Education, Health, ","Morne à Bateau Carrefour     Grandes Salines",,"American",,
819,,,,"Organisation de Développement de Meyer","ODM",,8-Aug-1993,"Roland MATHIEU","Meyer, Grand-Goave ou 17 Ave. Magny, P-au-P",,"222-6255",,"Education, Health, Economic Development","Meyer",,"Haitian",,
820,,,,"Organisation de Développement et d'Education Evangélique ","ODEE",,13-Aug-1993,"Révérend Jacquénel HERARD","275,Rue Dumarsais Estimé, Port-de-Paix",,"268-6427",,"Education, Health, Economic Development","North-West",,"Haitian",,
824,,,,"Organisation de Projets Humanitaires pour Haïti ","OPHH",,15-Jun-1993,"Dr. Patrick JOUBERT","23, rue Marcelin, P-au-P  ",,"222-8745",,"Education, Health, Economic Development",,,,,
831,,,,"Organisation Nationale pour l'For elimination of illeteracy et la Formation Professionnelle des Adultes ","ONAFPA","B-0180",7-Jun-1995,"Fritz PIERRE","10, Ruelle Dérival, Carrefour Marin",,"238-2730",,"Education ",,,"Haitian",,
834,,,,"Organisation pour le Développement de la Commune de Mirebalais","ODECOM","B-0416",7-May-2007,"Mireille CANTAVE","Mirebalais, Local Cantavilla, Haut du Bourg",,"276-9159",,"Education, Health, ","Mirebalais            Saut d'Eau        Boucan Carré            Grand Boucan           Crête Brulée Gascogne       Sarazin",,"Haitian",,
839,,,,"Organisation pour le Renforcement de l'Education et de l'Instruction","OREI","B-0392",3-Mar-2006,"M. Claude DESCHAMPS","1, Delmas 71, Complexe Lafayette  B.P 15094, Delmas, Haïti     www.orei.org / admin@orei.org",,"249-8613",,"Education ","Région Métropolitaine, Kenskoff, Croix-des-Bouquets, Pétion-Ville, Tabarre",,"Haitian",,
